outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,positive_count,positive_yield
2,10,predictive_entropy,110,batch,True,False,5,4,0.8
2,10,predictive_entropy,110,cumulative,True,False,100,56,0.56
2,10,predictive_entropy,115,batch,False,False,5,1,0.2
2,10,predictive_entropy,115,cumulative,False,False,105,57,0.5428571428571428
2,10,predictive_entropy,120,batch,False,False,5,4,0.8
2,10,predictive_entropy,120,cumulative,False,False,110,61,0.5545454545454546
2,10,predictive_entropy,125,batch,False,False,5,1,0.2
2,10,predictive_entropy,125,cumulative,False,False,115,62,0.5391304347826087
2,10,predictive_entropy,130,batch,False,False,5,5,1.0
2,10,predictive_entropy,130,cumulative,False,False,120,67,0.5583333333333333
2,10,predictive_entropy,135,batch,False,False,5,4,0.8
2,10,predictive_entropy,135,cumulative,False,False,125,71,0.568
2,10,predictive_entropy,140,batch,False,False,5,3,0.6
2,10,predictive_entropy,140,cumulative,False,False,130,74,0.5692307692307692
2,10,predictive_entropy,145,batch,False,False,5,4,0.8
2,10,predictive_entropy,145,cumulative,False,False,135,78,0.5777777777777777
2,10,predictive_entropy,150,batch,False,False,5,5,1.0
2,10,predictive_entropy,150,cumulative,False,False,140,83,0.5928571428571429
2,10,predictive_entropy,155,batch,False,False,5,4,0.8
2,10,predictive_entropy,155,cumulative,False,False,145,87,0.6
2,10,predictive_entropy,160,batch,True,False,5,0,0.0
2,10,predictive_entropy,160,cumulative,True,False,150,87,0.58
2,10,predictive_entropy,165,batch,False,False,5,3,0.6
2,10,predictive_entropy,165,cumulative,False,False,155,90,0.5806451612903226
2,10,predictive_entropy,170,batch,False,False,5,2,0.4
2,10,predictive_entropy,170,cumulative,False,False,160,92,0.575
2,10,predictive_entropy,175,batch,False,False,5,2,0.4
2,10,predictive_entropy,175,cumulative,False,False,165,94,0.5696969696969697
2,10,predictive_entropy,180,batch,False,False,5,4,0.8
2,10,predictive_entropy,180,cumulative,False,False,170,98,0.5764705882352941
2,10,predictive_entropy,185,batch,False,False,5,5,1.0
2,10,predictive_entropy,185,cumulative,False,False,175,103,0.5885714285714285
2,10,predictive_entropy,190,batch,False,False,5,5,1.0
2,10,predictive_entropy,190,cumulative,False,False,180,108,0.6
2,10,predictive_entropy,195,batch,False,False,5,5,1.0
2,10,predictive_entropy,195,cumulative,False,False,185,113,0.6108108108108108
2,10,predictive_entropy,200,batch,False,False,5,5,1.0
2,10,predictive_entropy,200,cumulative,False,False,190,118,0.6210526315789474
2,10,predictive_entropy,205,batch,False,False,5,5,1.0
2,10,predictive_entropy,205,cumulative,False,False,195,123,0.6307692307692307
2,10,predictive_entropy,210,batch,False,False,5,5,1.0
