outer_fold,initial_label_count,strategy,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,selected_count,mean_pairwise_normalized_levenshtein,minimum_pairwise_normalized_levenshtein
1,10,self_paced_entropy,45,cumulative,False,False,35,0.5056582633053222,0.16666666666666666
1,10,self_paced_entropy,50,batch,False,False,5,0.25,0.16666666666666666
1,10,self_paced_entropy,50,cumulative,False,False,40,0.47585470085470083,0.16666666666666666
1,10,self_paced_entropy,55,batch,False,False,5,0.9466666666666667,0.8
1,10,self_paced_entropy,55,cumulative,False,False,45,0.5622558922558922,0.16666666666666666
1,10,self_paced_entropy,60,batch,True,False,5,0.7803571428571429,0.375
1,10,self_paced_entropy,60,cumulative,True,False,50,0.6035160349854227,0.16666666666666666
1,10,self_paced_entropy,65,batch,False,False,5,0.9166666666666667,0.8333333333333334
1,10,self_paced_entropy,65,cumulative,False,False,55,0.6610365560365561,0.16666666666666666
1,10,self_paced_entropy,70,batch,False,False,5,0.669047619047619,0.16666666666666666
1,10,self_paced_entropy,70,cumulative,False,False,60,0.6594908528383104,0.16666666666666666
1,10,self_paced_entropy,75,batch,False,False,5,0.888095238095238,0.16666666666666666
1,10,self_paced_entropy,75,cumulative,False,False,65,0.6790573489010989,0.16666666666666666
1,10,self_paced_entropy,80,batch,False,False,5,0.5964285714285714,0.14285714285714285
1,10,self_paced_entropy,80,cumulative,False,False,70,0.7051814058956916,0.14285714285714285
1,10,self_paced_entropy,85,batch,False,False,5,0.51875,0.0625
1,10,self_paced_entropy,85,cumulative,False,False,75,0.7332614757614757,0.0625
1,10,self_paced_entropy,90,batch,False,False,5,0.5333333333333333,0.16666666666666666
1,10,self_paced_entropy,90,cumulative,False,False,80,0.7246375828812538,0.0625
1,10,self_paced_entropy,95,batch,False,False,5,0.8433333333333334,0.6666666666666666
1,10,self_paced_entropy,95,cumulative,False,False,85,0.7365916366546619,0.0625
1,10,self_paced_entropy,100,batch,False,False,5,0.9,0.6666666666666666
1,10,self_paced_entropy,100,cumulative,False,False,90,0.7556566197015635,0.0625
1,10,self_paced_entropy,105,batch,False,False,5,0.9357142857142857,0.8333333333333334
1,10,self_paced_entropy,105,cumulative,False,False,95,0.7761908761264864,0.0625
1,10,self_paced_entropy,110,batch,True,False,5,0.8595238095238095,0.6666666666666666
1,10,self_paced_entropy,110,cumulative,True,False,100,0.7882756132756132,0.0625
1,10,self_paced_entropy,115,batch,False,False,5,0.8633333333333333,0.5
1,10,self_paced_entropy,115,cumulative,False,False,105,0.8001720303506018,0.0625
1,10,self_paced_entropy,120,batch,False,False,5,0.5,0.16666666666666666
1,10,self_paced_entropy,120,cumulative,False,False,110,0.7918697128559514,0.0625
1,10,self_paced_entropy,125,batch,False,False,5,0.7577777777777778,0.6
1,10,self_paced_entropy,125,cumulative,False,False,115,0.8014951630283438,0.0625
1,10,self_paced_entropy,130,batch,False,False,5,0.9561904761904761,0.8
1,10,self_paced_entropy,130,cumulative,False,False,120,0.8104007436307856,0.0625
1,10,self_paced_entropy,135,batch,False,False,5,0.6583333333333333,0.16666666666666666
1,10,self_paced_entropy,135,cumulative,False,False,125,0.8066905785970302,0.0625
1,10,self_paced_entropy,140,batch,False,False,5,0.95,0.5
1,10,self_paced_entropy,140,cumulative,False,False,130,0.8151307133865273,0.0625
1,10,self_paced_entropy,145,batch,False,False,5,0.9341666666666667,0.8
1,10,self_paced_entropy,145,cumulative,False,False,135,0.8229750278589416,0.0625
1,10,self_paced_entropy,150,batch,False,False,5,0.8222222222222222,0.5555555555555556
1,10,self_paced_entropy,150,cumulative,False,False,140,0.8309958971598231,0.0625
1,10,self_paced_entropy,155,batch,False,False,5,0.8875,0.75
1,10,self_paced_entropy,155,cumulative,False,False,145,0.835192597153804,0.0625
1,10,self_paced_entropy,160,batch,True,False,5,0.9504166666666667,0.8333333333333334
1,10,self_paced_entropy,160,cumulative,True,False,150,0.8401471183551721,0.0625
1,10,self_paced_entropy,165,batch,False,False,5,0.9244696969696969,0.8181818181818182
1,10,self_paced_entropy,165,cumulative,False,False,155,0.8445217496044894,0.0625
1,10,self_paced_entropy,170,batch,False,False,5,0.9571428571428572,0.5714285714285714
1,10,self_paced_entropy,170,cumulative,False,False,160,0.8493654253677838,0.0625
1,10,self_paced_entropy,175,batch,False,False,5,0.8571428571428571,0.3333333333333333
1,10,self_paced_entropy,175,cumulative,False,False,165,0.8488191267958451,0.0625
1,10,self_paced_entropy,180,batch,False,False,5,0.7930555555555555,0.1111111111111111
1,10,self_paced_entropy,180,cumulative,False,False,170,0.8530622122781886,0.0625
1,10,self_paced_entropy,185,batch,False,False,5,0.645,0.2
1,10,self_paced_entropy,185,cumulative,False,False,175,0.8561255463201276,0.0625
1,10,self_paced_entropy,190,batch,False,False,5,0.7133333333333334,0.2
1,10,self_paced_entropy,190,cumulative,False,False,180,0.858327416427975,0.0625
1,10,self_paced_entropy,195,batch,False,False,5,0.7280701754385964,0.16666666666666666
1,10,self_paced_entropy,195,cumulative,False,False,185,0.8596001443083823,0.0625
1,10,self_paced_entropy,200,batch,False,False,5,0.7958333333333334,0.16666666666666666
1,10,self_paced_entropy,200,cumulative,False,False,190,0.857990349900498,0.0625
1,10,self_paced_entropy,205,batch,False,False,5,0.8218181818181818,0.3
1,10,self_paced_entropy,205,cumulative,False,False,195,0.8599196286274211,0.0625
1,10,self_paced_entropy,210,batch,False,False,5,0.8516666666666667,0.75
1,10,self_paced_entropy,210,cumulative,False,False,200,0.862021644988618,0.0625
1,10,self_paced_entropy,215,batch,False,False,5,0.7786435786435786,0.2222222222222222
1,10,self_paced_entropy,215,cumulative,False,False,205,0.8638039205935453,0.0625
1,10,self_paced_entropy,220,batch,False,False,5,0.8261904761904761,0.14285714285714285
1,10,self_paced_entropy,220,cumulative,False,False,210,0.8659681914800272,0.0625
1,10,self_paced_entropy,225,batch,False,False,5,0.5733333333333334,0.2
1,10,self_paced_entropy,225,cumulative,False,False,215,0.8676623070645824,0.0625
1,10,self_paced_entropy,230,batch,False,False,5,0.6927272727272727,0.1
1,10,self_paced_entropy,230,cumulative,False,False,220,0.8691959639626284,0.0625
1,10,self_paced_entropy,235,batch,False,True,5,0.89995670995671,0.7916666666666666
1,10,self_paced_entropy,235,cumulative,False,True,225,0.8707393484143954,0.0625
1,10,static_easy_entropy,15,batch,False,False,5,0.2833333333333333,0.16666666666666666
1,10,static_easy_entropy,15,cumulative,False,False,5,0.2833333333333333,0.16666666666666666
1,10,static_easy_entropy,20,batch,False,False,5,0.31666666666666665,0.16666666666666666
1,10,static_easy_entropy,20,cumulative,False,False,10,0.3111111111111111,0.16666666666666666
1,10,static_easy_entropy,25,batch,False,False,5,0.26666666666666666,0.16666666666666666
1,10,static_easy_entropy,25,cumulative,False,False,15,0.29523809523809524,0.16666666666666666
1,10,static_easy_entropy,30,batch,False,False,5,0.6,0.3333333333333333
1,10,static_easy_entropy,30,cumulative,False,False,20,0.36929824561403507,0.16666666666666666
1,10,static_easy_entropy,35,batch,False,False,5,0.5023809523809524,0.3333333333333333
1,10,static_easy_entropy,35,cumulative,False,False,25,0.396984126984127,0.16666666666666666
1,10,static_easy_entropy,40,batch,False,False,5,0.36666666666666664,0.16666666666666666
1,10,static_easy_entropy,40,cumulative,False,False,30,0.3894909688013136,0.16666666666666666
1,10,static_easy_entropy,45,batch,False,False,5,0.775,0.16666666666666666
1,10,static_easy_entropy,45,cumulative,False,False,35,0.47650393490729626,0.16666666666666666
1,10,static_easy_entropy,50,batch,False,False,5,0.4166666666666667,0.16666666666666666
1,10,static_easy_entropy,50,cumulative,False,False,40,0.48056064306064306,0.16666666666666666
1,10,static_easy_entropy,55,batch,False,False,5,0.6266666666666667,0.3333333333333333
1,10,static_easy_entropy,55,cumulative,False,False,45,0.5027184543851211,0.16666666666666666
1,10,static_easy_entropy,60,batch,True,False,5,0.9238095238095239,0.7142857142857143
1,10,static_easy_entropy,60,cumulative,True,False,50,0.5678432134758665,0.16666666666666666
1,10,static_easy_entropy,65,batch,False,False,5,0.65,0.3333333333333333
1,10,static_easy_entropy,65,cumulative,False,False,55,0.5777205921650366,0.16666666666666666
1,10,static_easy_entropy,70,batch,False,False,5,0.6900000000000001,0.16666666666666666
1,10,static_easy_entropy,70,cumulative,False,False,60,0.5928618509550713,0.16666666666666666
1,10,static_easy_entropy,75,batch,False,False,5,0.8,0.16666666666666666
1,10,static_easy_entropy,75,cumulative,False,False,65,0.610438224969475,0.16666666666666666
1,10,static_easy_entropy,80,batch,False,False,5,0.9166666666666666,0.6666666666666666
1,10,static_easy_entropy,80,cumulative,False,False,70,0.6528694666272306,0.16666666666666666
1,10,static_easy_entropy,85,batch,False,False,5,0.9033333333333333,0.3333333333333333
1,10,static_easy_entropy,85,cumulative,False,False,75,0.6702103532103532,0.16666666666666666
1,10,static_easy_entropy,90,batch,False,False,5,0.9547619047619047,0.8333333333333334
1,10,static_easy_entropy,90,cumulative,False,False,80,0.7007964135021097,0.16666666666666666
1,10,static_easy_entropy,95,batch,False,False,5,0.9182539682539682,0.7777777777777778
1,10,static_easy_entropy,95,cumulative,False,False,85,0.7255628918233961,0.16666666666666666
1,10,static_easy_entropy,100,batch,False,False,5,0.939047619047619,0.8333333333333334
1,10,static_easy_entropy,100,cumulative,False,False,90,0.7463001605136437,0.1
1,10,static_easy_entropy,105,batch,False,False,5,0.9233333333333333,0.6666666666666666
1,10,static_easy_entropy,105,cumulative,False,False,95,0.7552145434508256,0.1
1,10,static_easy_entropy,110,batch,True,False,5,0.6633333333333333,0.16666666666666666
1,10,static_easy_entropy,110,cumulative,True,False,100,0.7508967452300785,0.1
1,10,static_easy_entropy,115,batch,False,False,5,0.8833333333333333,0.16666666666666666
1,10,static_easy_entropy,115,cumulative,False,False,105,0.754240798883656,0.1
1,10,static_easy_entropy,120,batch,False,False,5,0.8633333333333334,0.16666666666666666
1,10,static_easy_entropy,120,cumulative,False,False,110,0.7575526563141242,0.1
1,10,static_easy_entropy,125,batch,False,False,5,0.9246031746031746,0.5555555555555556
1,10,static_easy_entropy,125,cumulative,False,False,115,0.772967866526219,0.1
1,10,static_easy_entropy,130,batch,False,False,5,0.8958333333333334,0.6666666666666666
1,10,static_easy_entropy,130,cumulative,False,False,120,0.7863533746832067,0.1
1,10,static_easy_entropy,135,batch,False,False,5,0.8990476190476191,0.6666666666666666
1,10,static_easy_entropy,135,cumulative,False,False,125,0.7938583717357911,0.1
1,10,static_easy_entropy,140,batch,False,False,5,0.8157142857142857,0.2
1,10,static_easy_entropy,140,cumulative,False,False,130,0.8029491912050052,0.1
1,10,static_easy_entropy,145,batch,False,False,5,0.8777777777777778,0.5555555555555556
1,10,static_easy_entropy,145,cumulative,False,False,135,0.8086659734835523,0.1
1,10,static_easy_entropy,150,batch,False,False,5,0.7833333333333333,0.16666666666666666
1,10,static_easy_entropy,150,cumulative,False,False,140,0.8133609846816424,0.1
1,10,static_easy_entropy,155,batch,False,False,5,0.82,0.3333333333333333
1,10,static_easy_entropy,155,cumulative,False,False,145,0.8190811059417381,0.1
1,10,static_easy_entropy,160,batch,True,False,5,0.775,0.3333333333333333
1,10,static_easy_entropy,160,cumulative,True,False,150,0.8256974184155392,0.1
1,10,static_easy_entropy,165,batch,False,False,5,0.83,0.2
1,10,static_easy_entropy,165,cumulative,False,False,155,0.8327286359314009,0.1
1,10,static_easy_entropy,170,batch,False,False,5,0.8586363636363636,0.4
1,10,static_easy_entropy,170,cumulative,False,False,160,0.8366171570829589,0.09090909090909091
1,10,static_easy_entropy,175,batch,False,False,5,0.8787878787878788,0.6666666666666666
1,10,static_easy_entropy,175,cumulative,False,False,165,0.8392224563233432,0.09090909090909091
1,10,static_easy_entropy,180,batch,False,False,5,0.8613553113553113,0.14285714285714285
1,10,static_easy_entropy,180,cumulative,False,False,170,0.8445183657661903,0.09090909090909091
1,10,static_easy_entropy,185,batch,False,False,5,0.8651785714285715,0.375
1,10,static_easy_entropy,185,cumulative,False,False,175,0.8491207093399211,0.09090909090909091
1,10,static_easy_entropy,190,batch,False,False,5,0.6958333333333333,0.0625
1,10,static_easy_entropy,190,cumulative,False,False,180,0.8518713769505203,0.0625
1,10,static_easy_entropy,195,batch,False,False,5,0.8833333333333333,0.16666666666666666
1,10,static_easy_entropy,195,cumulative,False,False,185,0.8551670905475254,0.0625
1,10,static_easy_entropy,200,batch,False,False,5,0.8597222222222222,0.375
1,10,static_easy_entropy,200,cumulative,False,False,190,0.8569256150730671,0.0625
1,10,static_easy_entropy,205,batch,False,False,5,0.8951515151515151,0.3333333333333333
1,10,static_easy_entropy,205,cumulative,False,False,195,0.8590635116784998,0.0625
1,10,static_easy_entropy,210,batch,False,False,5,0.9104166666666667,0.75
1,10,static_easy_entropy,210,cumulative,False,False,200,0.8622995558322192,0.0625
1,10,static_easy_entropy,215,batch,False,False,5,0.9555023923444976,0.8947368421052632
1,10,static_easy_entropy,215,cumulative,False,False,205,0.8643552682260868,0.0625
1,10,static_easy_entropy,220,batch,False,False,5,0.87,0.2
1,10,static_easy_entropy,220,cumulative,False,False,210,0.8658468732211402,0.0625
