outer_fold,initial_label_count,labelled_count,scope,fixed_budget_summary,terminal_consistency_only,strategy_a,strategy_b,jaccard
1,10,85,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,90,batch,False,False,random,random,1.0
1,10,90,batch,False,False,random,predictive_entropy,0.0
1,10,90,batch,False,False,random,static_easy_entropy,0.0
1,10,90,batch,False,False,random,self_paced_entropy,0.0
1,10,90,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,90,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,90,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,90,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,90,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,90,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,90,cumulative,False,False,random,random,1.0
1,10,90,cumulative,False,False,random,predictive_entropy,0.25984251968503935
1,10,90,cumulative,False,False,random,static_easy_entropy,0.22137404580152673
1,10,90,cumulative,False,False,random,self_paced_entropy,0.23076923076923078
1,10,90,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,90,cumulative,False,False,predictive_entropy,static_easy_entropy,0.3333333333333333
1,10,90,cumulative,False,False,predictive_entropy,self_paced_entropy,0.3445378151260504
1,10,90,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,90,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5533980582524272
1,10,90,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,95,batch,False,False,random,random,1.0
1,10,95,batch,False,False,random,predictive_entropy,0.0
1,10,95,batch,False,False,random,static_easy_entropy,0.1111111111111111
1,10,95,batch,False,False,random,self_paced_entropy,0.0
1,10,95,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,95,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,95,batch,False,False,predictive_entropy,self_paced_entropy,0.0
1,10,95,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,95,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,95,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,95,cumulative,False,False,random,random,1.0
1,10,95,cumulative,False,False,random,predictive_entropy,0.2781954887218045
1,10,95,cumulative,False,False,random,static_easy_entropy,0.24087591240875914
1,10,95,cumulative,False,False,random,self_paced_entropy,0.25
1,10,95,cumulative,False,False,predictive_entropy,predictive_entropy,1.0
1,10,95,cumulative,False,False,predictive_entropy,static_easy_entropy,0.36
1,10,95,cumulative,False,False,predictive_entropy,self_paced_entropy,0.3709677419354839
1,10,95,cumulative,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,95,cumulative,False,False,static_easy_entropy,self_paced_entropy,0.5454545454545454
1,10,95,cumulative,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,100,batch,False,False,random,random,1.0
1,10,100,batch,False,False,random,predictive_entropy,0.0
1,10,100,batch,False,False,random,static_easy_entropy,0.0
1,10,100,batch,False,False,random,self_paced_entropy,0.0
1,10,100,batch,False,False,predictive_entropy,predictive_entropy,1.0
1,10,100,batch,False,False,predictive_entropy,static_easy_entropy,0.0
1,10,100,batch,False,False,predictive_entropy,self_paced_entropy,0.1111111111111111
1,10,100,batch,False,False,static_easy_entropy,static_easy_entropy,1.0
1,10,100,batch,False,False,static_easy_entropy,self_paced_entropy,0.0
1,10,100,batch,False,False,self_paced_entropy,self_paced_entropy,1.0
1,10,100,cumulative,False,False,random,random,1.0
1,10,100,cumulative,False,False,random,predictive_entropy,0.2857142857142857
