mode,setup,outer_fold_id,inner_fold_id,initial_label_count,strategy,round_id,replay_point,labeled_count,evaluation_dataset,accuracy,precision,recall,f1,balanced_accuracy,gmean,roc_auc,pr_auc,brier_score,log_loss,ece_10,mce_10,decision_threshold,threshold_strategy,threshold_selection_f1,threshold_source,accuracy_fixed_0_5,precision_fixed_0_5,recall_fixed_0_5,f1_fixed_0_5,balanced_accuracy_fixed_0_5,gmean_fixed_0_5,outer_fold
phase5,single_calibrated,1,1,10,self_paced_entropy,33,33,175,holdout,0.7432432432432432,0.8604651162790697,0.74,0.7956989247311828,0.745,0.744983221287567,0.8433333333333334,0.9202459217414348,0.1569044964236347,0.46688440169882933,0.1474642292596118,0.6911659181176413,0.6120448874582815,pr_best_f1,0.7956989247311828,validation,0.7972972972972973,0.8301886792452831,0.88,0.8543689320388349,0.7525,0.7416198487095663,1
phase5,single_calibrated,1,1,10,self_paced_entropy,34,34,180,validation,0.847457627118644,0.8444444444444444,0.95,0.8941176470588236,0.7907894736842105,0.7745966692414834,0.8868421052631579,0.9366939161035857,0.12469413592141593,0.39552187411797074,0.12298684889781228,0.4695264830464694,0.4869447439081279,pr_best_f1,0.8941176470588236,validation,0.8305084745762712,0.8409090909090909,0.925,0.8809523809523809,0.7782894736842105,0.7643366577077076,1
phase5,single_calibrated,1,1,10,self_paced_entropy,34,34,180,holdout,0.7972972972972973,0.8301886792452831,0.88,0.8543689320388349,0.7525,0.7416198487095663,0.8566666666666667,0.9244584285018967,0.15079377870287253,0.46603750844841635,0.11194516724967078,0.758765155800794,0.4869447439081279,pr_best_f1,0.8543689320388349,validation,0.7972972972972973,0.8301886792452831,0.88,0.8543689320388349,0.7525,0.7416198487095663,1
phase5,single_calibrated,1,1,10,self_paced_entropy,35,35,185,validation,0.864406779661017,0.8636363636363636,0.95,0.9047619047619048,0.8171052631578948,0.806225774829855,0.8486842105263158,0.9027068015365123,0.12732522345322603,0.4163063507067356,0.09371815500153959,0.4586081284305926,0.5083602603402069,pr_best_f1,0.9047619047619048,validation,0.864406779661017,0.8636363636363636,0.95,0.9047619047619048,0.8171052631578948,0.806225774829855,1
phase5,single_calibrated,1,1,10,self_paced_entropy,35,35,185,holdout,0.7567567567567568,0.82,0.82,0.82,0.7224999999999999,0.7158910531638176,0.8108333333333333,0.8998691973956584,0.1668458556863505,0.5011489659657329,0.09918695484630903,0.39702469307679433,0.5083602603402069,pr_best_f1,0.82,validation,0.7567567567567568,0.82,0.82,0.82,0.7224999999999999,0.7158910531638176,1
phase5,single_calibrated,1,1,10,self_paced_entropy,36,36,190,validation,0.8135593220338984,0.9142857142857143,0.8,0.8533333333333333,0.8210526315789474,0.8207826816681233,0.825,0.8975130728694966,0.15575171318599312,0.47625602716947546,0.10257505524317759,0.4440141298394457,0.6669952926649884,pr_best_f1,0.8533333333333333,validation,0.7627118644067796,0.8095238095238095,0.85,0.8292682926829269,0.7144736842105264,0.7015021476502369,1
phase5,single_calibrated,1,1,10,self_paced_entropy,36,36,190,holdout,0.7027027027027027,0.85,0.68,0.7555555555555556,0.7150000000000001,0.714142842854285,0.785,0.8775035932703974,0.16664651987861512,0.5095132119554368,0.1247728018248602,0.35568369692930346,0.6669952926649884,pr_best_f1,0.7555555555555556,validation,0.7567567567567568,0.8333333333333334,0.8,0.816326530612245,0.7333333333333334,0.7302967433402214,1
phase5,single_calibrated,1,1,10,self_paced_entropy,37,37,195,validation,0.8305084745762712,0.875,0.875,0.875,0.805921052631579,0.8029550685469662,0.8381578947368421,0.9115779374966845,0.14022651017177795,0.4409053067186044,0.08518329513536373,0.4120106405755484,0.5594872386661374,pr_best_f1,0.875,validation,0.8135593220338984,0.8372093023255814,0.9,0.8674698795180723,0.7657894736842106,0.7539370349250519,1
phase5,single_calibrated,1,1,10,self_paced_entropy,37,37,195,holdout,0.7702702702702703,0.851063829787234,0.8,0.8247422680412372,0.7541666666666667,0.7527726527090811,0.8333333333333334,0.9164847035073835,0.16002236034183534,0.48595344460134127,0.11946959694935266,0.3708351954496523,0.5594872386661374,pr_best_f1,0.8247422680412372,validation,0.7972972972972973,0.8431372549019608,0.86,0.8514851485148515,0.7633333333333333,0.7571877794400365,1
phase5,single_calibrated,1,1,10,self_paced_entropy,38,38,200,validation,0.8305084745762712,0.8947368421052632,0.85,0.8717948717948718,0.8197368421052631,0.8191780219091253,0.8407894736842105,0.9164593756297811,0.1464983357422007,0.4536442084820486,0.08217452102615586,0.3449762686513642,0.5963259963083168,pr_best_f1,0.8717948717948718,validation,0.7966101694915254,0.85,0.85,0.85,0.7671052631578947,0.7626132357679226,1
phase5,single_calibrated,1,1,10,self_paced_entropy,38,38,200,holdout,0.7027027027027027,0.8333333333333334,0.7,0.7608695652173915,0.7041666666666666,0.704154339142587,0.7758333333333334,0.8833187103339937,0.1863905540889452,0.5465549251758557,0.16096643216965517,0.5598452183499296,0.5963259963083168,pr_best_f1,0.7608695652173915,validation,0.7162162162162162,0.8085106382978723,0.76,0.7835051546391754,0.6925,0.689202437604511,1
phase5,single_calibrated,1,1,10,self_paced_entropy,39,39,205,validation,0.8135593220338984,0.8918918918918919,0.825,0.8571428571428571,0.8072368421052631,0.8070413802734555,0.8131578947368421,0.8974111264664177,0.1553535310671846,0.4768401984933663,0.1285451610043688,0.34344859796419674,0.6599576918481304,pr_best_f1,0.8571428571428571,validation,0.7457627118644068,0.7906976744186046,0.85,0.8192771084337349,0.6881578947368421,0.6688560540599386,1
phase5,single_calibrated,1,1,10,self_paced_entropy,39,39,205,holdout,0.6621621621621622,0.8378378378378378,0.62,0.7126436781609196,0.685,0.6819090848492928,0.7883333333333333,0.872682438500662,0.16836031351409844,0.5127589589321816,0.0826763486749366,0.6500977739800867,0.6599576918481304,pr_best_f1,0.7126436781609196,validation,0.7837837837837838,0.8269230769230769,0.86,0.8431372549019608,0.7424999999999999,0.733143914930759,1
phase5,single_calibrated,1,1,10,self_paced_entropy,40,40,210,validation,0.7796610169491526,0.813953488372093,0.875,0.8433734939759036,0.7269736842105263,0.7117435966472906,0.8171052631578948,0.9152169829808239,0.16001445650709842,0.47874121254991864,0.10699978926447443,0.5724525860532733,0.4244610094263495,pr_best_f1,0.8433734939759036,validation,0.7288135593220338,0.8,0.8,0.8000000000000002,0.6894736842105263,0.6805570473787206,1
phase5,single_calibrated,1,1,10,self_paced_entropy,40,40,210,holdout,0.7432432432432432,0.8297872340425532,0.78,0.8041237113402062,0.7233333333333334,0.7211102550927979,0.7516666666666667,0.8376053630748539,0.18874240336666556,0.5629734358377095,0.11257988597572299,0.2668515654286647,0.4244610094263495,pr_best_f1,0.8041237113402062,validation,0.7297297297297297,0.8260869565217391,0.76,0.7916666666666667,0.7133333333333334,0.7118052168020874,1
phase5,single_calibrated,1,1,10,self_paced_entropy,41,41,215,validation,0.847457627118644,0.8974358974358975,0.875,0.8860759493670887,0.8322368421052632,0.8311374577554609,0.8276315789473684,0.8926594762626893,0.15271795672561703,0.48078277099652617,0.11173492701477328,0.49571298607363334,0.5991082789553432,pr_best_f1,0.8860759493670887,validation,0.7796610169491526,0.8,0.9,0.8470588235294118,0.7131578947368421,0.6882472016116853,1
phase5,single_calibrated,1,1,10,self_paced_entropy,41,41,215,holdout,0.7297297297297297,0.875,0.7,0.7777777777777777,0.7458333333333333,0.7444237144709097,0.8266666666666667,0.9029692733165117,0.1586012164396065,0.4833116859340507,0.09742603693398728,0.6584139892580136,0.5991082789553432,pr_best_f1,0.7777777777777777,validation,0.7702702702702703,0.8,0.88,0.8380952380952381,0.7108333333333333,0.6904105059069326,1
phase5,single_calibrated,1,1,10,self_paced_entropy,42,42,220,validation,0.8135593220338984,0.8918918918918919,0.825,0.8571428571428571,0.8072368421052631,0.8070413802734555,0.8407894736842105,0.9217085605795949,0.1457641368380837,0.44786300669989043,0.11381588754178362,0.5408351208228094,0.6063191977817867,pr_best_f1,0.8571428571428571,validation,0.7457627118644068,0.8048780487804879,0.825,0.8148148148148149,0.7019736842105263,0.6911089486812976,1
phase5,single_calibrated,1,1,10,self_paced_entropy,42,42,220,holdout,0.7162162162162162,0.8536585365853658,0.7,0.7692307692307692,0.725,0.7245688373094719,0.7691666666666667,0.858460024736011,0.1739682083319626,0.5301357670524015,0.12452732918501579,0.4101764437480745,0.6063191977817867,pr_best_f1,0.7692307692307692,validation,0.7837837837837838,0.8541666666666666,0.82,0.836734693877551,0.7641666666666667,0.7621242243449117,1
phase5,single_calibrated,1,1,10,self_paced_entropy,43,43,225,validation,0.8305084745762712,0.8947368421052632,0.85,0.8717948717948718,0.8197368421052631,0.8191780219091253,0.8223684210526315,0.870798566234472,0.15259553336767764,0.4771755081718258,0.14723094142853088,0.5605352190809683,0.6452728135819938,pr_best_f1,0.8717948717948718,validation,0.7627118644067796,0.7954545454545454,0.875,0.8333333333333334,0.700657894736842,0.6786208925382962,1
phase5,single_calibrated,1,1,10,self_paced_entropy,43,43,225,holdout,0.7837837837837838,0.8863636363636364,0.78,0.8297872340425532,0.7858333333333334,0.7858116822750855,0.8266666666666667,0.9052875515207724,0.15773339983633403,0.48463877276539785,0.07614387865433006,0.44238940051073566,0.6452728135819938,pr_best_f1,0.8297872340425532,validation,0.7972972972972973,0.8301886792452831,0.88,0.8543689320388349,0.7525,0.7416198487095663,1
