initial_label_count,strategy,outer_fold,aulc_f1,terminal_labeled_count,terminal_f1,terminal_pr_auc,terminal_roc_auc,terminal_brier,terminal_ece_10
40,ensemble_mi,1,0.825119837850545,140,0.822429906542056,0.920360773080563,0.83,0.16405176493086246,0.14921560196848715
40,ensemble_mi,2,0.85017134611806,140,0.8478260869565217,0.9319685845201378,0.8675,0.13021670539870572,0.0790468431434304
40,ensemble_mi,3,0.8331342268031391,140,0.8521739130434782,0.8767765057835616,0.8175,0.14983224262339687,0.11876099729741
40,ensemble_mi,4,0.821832522407773,140,0.8172043010752689,0.9323416372489162,0.8556521739130435,0.14307418126383925,0.08551919875175543
40,ensemble_mi,5,0.8000073871882831,140,0.7816091954022989,0.9477726322953732,0.8937074829931972,0.1280638266479649,0.12084632052127664
40,family_qbc,1,0.8150170654431703,140,0.8181818181818182,0.8928429941194831,0.805,0.1636011374825657,0.11557333019816889
40,family_qbc,2,0.8483773852085754,140,0.8712871287128714,0.93123416450345,0.8691666666666666,0.13293232247278708,0.09328051151824311
40,family_qbc,3,0.8291942667502596,140,0.8541666666666666,0.8932174993039961,0.8241666666666667,0.15723863318355535,0.07280196657894264
40,family_qbc,4,0.8176877112920047,140,0.8297872340425532,0.9329578799977897,0.8704347826086957,0.1344499385011515,0.06289918415283995
40,family_qbc,5,0.8346235529080057,140,0.8275862068965517,0.9542885073123244,0.9107142857142857,0.11866519413844465,0.12850909482529196
40,hybrid_mi_diverse,1,0.8071305759503883,140,0.7878787878787878,0.9138379557503392,0.8041666666666667,0.17510826091617765,0.17029707373325811
40,hybrid_mi_diverse,2,0.841470003043775,140,0.8775510204081632,0.9301332475455257,0.8641666666666666,0.1357269129184945,0.08577687220001204
40,hybrid_mi_diverse,3,0.8275746887105864,140,0.8411214953271027,0.8780309902180751,0.8041666666666667,0.15342895138962898,0.09623157928356088
