mode,initial_label_count,setup,evaluation_dataset,outer_fold_id,strategy,random_final_F1,strategy_final_F1,final_F1_delta_vs_random,win_vs_random
benchmark,40,ensemble_calibrated,validation,4,similarity_penalized_mean,0.9135802469135802,0.9,-0.013580246913580174,False
benchmark,40,ensemble_calibrated,validation,4,ucb,0.9135802469135802,0.8860759493670887,-0.02750429754649153,False
benchmark,40,ensemble_calibrated,holdout,4,cluster_diverse_representative,0.8453608247422681,0.8181818181818181,-0.027179006560450025,False
benchmark,40,ensemble_calibrated,holdout,4,ensemble_mean,0.8453608247422681,0.8,-0.0453608247422681,False
benchmark,40,ensemble_calibrated,holdout,4,ensemble_mi,0.8453608247422681,0.8172043010752689,-0.028156523666999278,False
benchmark,40,ensemble_calibrated,holdout,4,family_qbc,0.8453608247422681,0.8297872340425532,-0.015573590699714979,False
benchmark,40,ensemble_calibrated,holdout,4,hybrid_mi_diverse,0.8453608247422681,0.8314606741573033,-0.013900150584964854,False
benchmark,40,ensemble_calibrated,holdout,4,oed_logdet,0.8453608247422681,0.8181818181818181,-0.027179006560450025,False
benchmark,40,ensemble_calibrated,holdout,4,predictive_entropy,0.8453608247422681,0.8260869565217391,-0.01927386822052901,False
benchmark,40,ensemble_calibrated,holdout,4,similarity_penalized_mean,0.8453608247422681,0.8043478260869565,-0.041012998655311605,False
benchmark,40,ensemble_calibrated,holdout,4,ucb,0.8453608247422681,0.8453608247422681,0.0,False
benchmark,10,ensemble_calibrated,validation,5,cluster_diverse_representative,0.9500000000000001,0.9,-0.050000000000000044,False
benchmark,10,ensemble_calibrated,validation,5,ensemble_mean,0.9500000000000001,0.8863636363636362,-0.06363636363636382,False
benchmark,10,ensemble_calibrated,validation,5,ensemble_mi,0.9500000000000001,0.9302325581395349,-0.019767441860465196,False
benchmark,10,ensemble_calibrated,validation,5,family_qbc,0.9500000000000001,0.9268292682926829,-0.023170731707317205,False
benchmark,10,ensemble_calibrated,validation,5,hybrid_mi_diverse,0.9500000000000001,0.9473684210526316,-0.0026315789473684292,False
benchmark,10,ensemble_calibrated,validation,5,oed_logdet,0.9500000000000001,0.9302325581395349,-0.019767441860465196,False
benchmark,10,ensemble_calibrated,validation,5,predictive_entropy,0.9500000000000001,0.9156626506024096,-0.03433734939759048,False
benchmark,10,ensemble_calibrated,validation,5,similarity_penalized_mean,0.9500000000000001,0.8764044943820225,-0.07359550561797756,False
benchmark,10,ensemble_calibrated,validation,5,ucb,0.9500000000000001,0.8205128205128205,-0.12948717948717958,False
benchmark,10,ensemble_calibrated,holdout,5,cluster_diverse_representative,0.8571428571428571,0.8478260869565216,-0.009316770186335477,False
benchmark,10,ensemble_calibrated,holdout,5,ensemble_mean,0.8571428571428571,0.8141592920353982,-0.04298356510745893,False
benchmark,10,ensemble_calibrated,holdout,5,ensemble_mi,0.8571428571428571,0.8712871287128713,0.014144271570014189,True
benchmark,10,ensemble_calibrated,holdout,5,family_qbc,0.8571428571428571,0.9,0.04285714285714293,True
benchmark,10,ensemble_calibrated,holdout,5,hybrid_mi_diverse,0.8571428571428571,0.8351648351648353,-0.02197802197802179,False
benchmark,10,ensemble_calibrated,holdout,5,oed_logdet,0.8571428571428571,0.8367346938775511,-0.020408163265306034,False
benchmark,10,ensemble_calibrated,holdout,5,predictive_entropy,0.8571428571428571,0.8602150537634408,0.003072196620583667,True
benchmark,10,ensemble_calibrated,holdout,5,similarity_penalized_mean,0.8571428571428571,0.8349514563106796,-0.02219140083217752,False
benchmark,10,ensemble_calibrated,holdout,5,ucb,0.8571428571428571,0.8080808080808082,-0.04906204906204892,False
benchmark,40,ensemble_calibrated,validation,5,cluster_diverse_representative,0.9230769230769231,0.9333333333333333,0.01025641025641022,True
benchmark,40,ensemble_calibrated,validation,5,ensemble_mean,0.9230769230769231,0.8831168831168831,-0.03996003996004005,False
benchmark,40,ensemble_calibrated,validation,5,ensemble_mi,0.9230769230769231,0.9473684210526316,0.02429149797570851,True
benchmark,40,ensemble_calibrated,validation,5,family_qbc,0.9230769230769231,0.9367088607594937,0.013631937682570539,True
benchmark,40,ensemble_calibrated,validation,5,hybrid_mi_diverse,0.9230769230769231,0.9500000000000001,0.02692307692307694,True
benchmark,40,ensemble_calibrated,validation,5,oed_logdet,0.9230769230769231,0.925,0.0019230769230769162,True
benchmark,40,ensemble_calibrated,validation,5,predictive_entropy,0.9230769230769231,0.9473684210526316,0.02429149797570851,True
benchmark,40,ensemble_calibrated,validation,5,similarity_penalized_mean,0.9230769230769231,0.9024390243902439,-0.0206378986866792,False
benchmark,40,ensemble_calibrated,validation,5,ucb,0.9230769230769231,0.8947368421052632,-0.028340080971659964,False
