mode,initial_label_count,setup,strategy,evaluation_dataset,n_repeats,mean_final_F1,std_final_F1,median_final_F1,min_final_F1,max_final_F1,mean_AULC_F1,std_AULC_F1,mean_final_PR_AUC,mean_final_ROC_AUC,mean_final_Brier,mean_final_ECE_10
ablation,10,single_calibrated,similarity_penalized_mean,validation,5,0.8752128270797176,0.017997411818041736,0.8705882352941177,0.8571428571428572,0.896551724137931,0.8429401057894126,0.006546834618731044,0.9238423411597232,0.8463157894736841,0.14453689697547287,0.09457591543034338
ablation,10,single_raw,cluster_diverse_representative,holdout,5,0.8070624902602461,0.019704341865994058,0.8173913043478259,0.7777777777777777,0.8222222222222222,0.8102656246354378,0.016753987984652514,0.9103473244189221,0.8263683821354629,0.16479730398381526,0.1257530255824526
ablation,10,single_raw,cluster_diverse_representative,validation,5,0.8806226534934332,0.02083135085933254,0.8767123287671234,0.8539325842696629,0.9113924050632911,0.8601213916455166,0.014372661250516675,0.9380595922382314,0.8707894736842106,0.13936037587267386,0.13495287131833827
ablation,10,single_raw,ensemble_mean,holdout,5,0.8115117621574288,0.03924548710148423,0.8135593220338982,0.7592592592592593,0.8543689320388349,0.791979233464397,0.022870697046786192,0.8819504055635065,0.7827574682046732,0.1869237668002673,0.1350790159108572
ablation,10,single_raw,ensemble_mean,validation,5,0.8487912408396443,0.01607076601740882,0.8433734939759036,0.8354430379746836,0.8764044943820225,0.8346619324811225,0.010671971882310925,0.9091529395099045,0.8139473684210525,0.17079687678916877,0.1265320356114436
ablation,10,single_raw,oed_logdet,holdout,5,0.8304561233159365,0.0329553835083149,0.8333333333333334,0.7809523809523811,0.8599999999999999,0.8090147651659076,0.02493237859570606,0.9018606406294948,0.8108603963324461,0.17371959855641228,0.1404428007835588
ablation,10,single_raw,oed_logdet,validation,5,0.865235701758022,0.027587101341094173,0.8505747126436781,0.8395061728395061,0.9069767441860466,0.857556280412312,0.013591613525854349,0.932881228537954,0.8621052631578948,0.14579003253703438,0.14372371916296123
ablation,10,single_raw,predictive_entropy,holdout,5,0.8351096645890486,0.05369090276418085,0.8521739130434782,0.7415730337078651,0.8785046728971961,0.8132877962839764,0.041497019257515796,0.910683496899669,0.8295939071280687,0.15405742416675158,0.11392478396421626
ablation,10,single_raw,predictive_entropy,validation,5,0.8785145623355808,0.01876804160466786,0.8860759493670887,0.857142857142857,0.9,0.8650023911063969,0.021138691662578007,0.9186835160721716,0.853157894736842,0.1394815609923178,0.1048609103312937
ablation,10,single_raw,random,holdout,5,0.8434210207704202,0.017495447645754142,0.836734693877551,0.822429906542056,0.8631578947368421,0.7945026274833896,0.040274285986012695,0.8932300848280749,0.8185532386867791,0.16688085715783818,0.13060069321808174
