mode,setup,outer_fold_id,inner_fold_id,replay_seed_size,initial_label_count,strategy,round_id,probability_type,Brier,ECE_10,MCE_10
ablation,single_calibrated,2,1,10,10,random,2,calibrated,0.19095986995688025,0.06305982025295377,0.09234273856300568
ablation,single_calibrated,2,1,10,10,random,3,raw,0.19691023565865143,0.11444103465241903,0.24738073348999023
ablation,single_calibrated,2,1,10,10,random,3,calibrated,0.191845258418256,0.0937737094498518,0.2846032332023665
ablation,single_calibrated,2,1,10,10,random,4,raw,0.19216395118412066,0.16161952609733002,0.3266933113336563
ablation,single_calibrated,2,1,10,10,random,4,calibrated,0.18714514778395128,0.08786363553378611,0.2585768946748503
ablation,single_calibrated,2,1,10,10,random,5,raw,0.1772584507314183,0.10081964377629557,0.26375471552213037
ablation,single_calibrated,2,1,10,10,random,5,calibrated,0.16758384174523624,0.08534997023410791,0.74996574828472
ablation,single_calibrated,2,1,10,10,random,6,raw,0.1788883987461805,0.12753118940834274,0.36003950238227844
ablation,single_calibrated,2,1,10,10,random,6,calibrated,0.1745358680615476,0.10300811040913309,0.3941486065135125
ablation,single_calibrated,2,1,10,10,random,7,raw,0.18306547145079202,0.14396705516314104,0.4138668502370516
ablation,single_calibrated,2,1,10,10,random,7,calibrated,0.17906403099724147,0.09827144794066278,0.32397626188503387
ablation,single_calibrated,2,1,10,10,random,8,raw,0.16359037086706224,0.1062202788258003,0.44090991020202636
ablation,single_calibrated,2,1,10,10,random,8,calibrated,0.15779067550724846,0.09936215239037204,0.42615640175875025
ablation,single_calibrated,2,1,10,10,random,9,raw,0.16560956648011568,0.19237691366066367,0.5694486995538075
ablation,single_calibrated,2,1,10,10,random,9,calibrated,0.15993477637322456,0.15510232784759242,0.4725696733576277
ablation,single_calibrated,2,1,10,10,random,10,raw,0.16316268807745898,0.1387972635990482,0.546171526114146
ablation,single_calibrated,2,1,10,10,random,10,calibrated,0.1570036666840582,0.13742306615522668,0.34252889066486425
ablation,single_calibrated,2,1,10,10,random,11,raw,0.16681246861834007,0.1069155668808242,0.4282252639532089
ablation,single_calibrated,2,1,10,10,random,11,calibrated,0.16623153497792706,0.15096948477194805,0.47662333197299467
ablation,single_calibrated,2,1,10,10,random,12,raw,0.162610925555832,0.14358158182289643,0.2975863549444411
ablation,single_calibrated,2,1,10,10,random,12,calibrated,0.1622562485316803,0.152883989359123,0.4907662318848909
ablation,single_calibrated,2,1,10,10,random,13,raw,0.16376933240994213,0.18405440834871792,0.3657916784286499
ablation,single_calibrated,2,1,10,10,random,13,calibrated,0.15604164455095082,0.12977410992047567,0.8395298250742474
ablation,single_calibrated,2,1,10,10,random,14,raw,0.160084097740296,0.20527352013830413,0.5361074090003968
ablation,single_calibrated,2,1,10,10,random,14,calibrated,0.15734482021939986,0.18628056951272415,0.7325095046751897
ablation,single_calibrated,2,1,10,10,random,15,raw,0.1571761652512403,0.1196468887945353,0.38204991817474365
ablation,single_calibrated,2,1,10,10,random,15,calibrated,0.1567507763546321,0.10115767251080474,0.8064935733112908
ablation,single_calibrated,2,1,10,10,random,16,raw,0.15894974351483,0.1262627615261886,0.5662665516138077
ablation,single_calibrated,2,1,10,10,random,16,calibrated,0.15897790940975523,0.1793269828355415,0.5796155659016418
ablation,single_calibrated,2,1,10,10,random,17,raw,0.14992757262123477,0.08345383393057323,0.26843905448913574
ablation,single_calibrated,2,1,10,10,random,17,calibrated,0.14964796596588553,0.06116857568303212,0.1688155469479271
ablation,single_calibrated,2,1,10,10,random,18,raw,0.15404917416619215,0.1543939666727842,0.45595366259415937
ablation,single_calibrated,2,1,10,10,random,18,calibrated,0.1503800270979375,0.1590264729029019,0.36689884228207953
ablation,single_calibrated,2,1,10,10,random,19,raw,0.15297302228791942,0.1397310910841166,0.6788454949855804
ablation,single_calibrated,2,1,10,10,random,19,calibrated,0.1511142038713952,0.15188916652684353,0.5657163891337436
ablation,single_calibrated,2,1,10,10,random,20,raw,0.14265311493670374,0.17299383272558955,0.6655111908912659
ablation,single_calibrated,2,1,10,10,random,20,calibrated,0.14121665010498746,0.16168615537364112,0.47377506478786263
ablation,single_calibrated,2,1,10,10,ensemble_mean,0,raw,0.1928641431978574,0.10764639660463496,0.1973433643579483
ablation,single_calibrated,2,1,10,10,ensemble_mean,0,calibrated,0.19192496571943343,0.10503779988989656,0.3187246795122773
ablation,single_calibrated,2,1,10,10,ensemble_mean,1,raw,0.22552357455806915,0.16361121959605462,0.3966043293476105
ablation,single_calibrated,2,1,10,10,ensemble_mean,1,calibrated,0.2094718605503375,0.09971087842238358,0.18752376556204753
ablation,single_calibrated,2,1,10,10,ensemble_mean,2,raw,0.2306145675703238,0.15178313295719986,0.292968879143397
ablation,single_calibrated,2,1,10,10,ensemble_mean,2,calibrated,0.2072698541525607,0.20429562151147287,0.489618200211536
ablation,single_calibrated,2,1,10,10,ensemble_mean,3,raw,0.23618212532946478,0.2345023372415769,0.4125063717365265
ablation,single_calibrated,2,1,10,10,ensemble_mean,3,calibrated,0.2159475849693939,0.13564629831144076,0.1669920238761986
ablation,single_calibrated,2,1,10,10,ensemble_mean,4,raw,0.23039433059809036,0.12696583543793633,0.2323122601956129
ablation,single_calibrated,2,1,10,10,ensemble_mean,4,calibrated,0.21460956278877044,0.06127262183066434,0.15433111519433007
ablation,single_calibrated,2,1,10,10,ensemble_mean,5,raw,0.22822935466861935,0.144742484314967,0.3915243074297905
ablation,single_calibrated,2,1,10,10,ensemble_mean,5,calibrated,0.2141882878537682,0.04120179829759227,0.0756785237044656
ablation,single_calibrated,2,1,10,10,ensemble_mean,6,raw,0.23734211964482477,0.15086274884514891,0.37324705294200355
ablation,single_calibrated,2,1,10,10,ensemble_mean,6,calibrated,0.21518362590880355,0.06020106288405119,0.11885853574677097
ablation,single_calibrated,2,1,10,10,ensemble_mean,7,raw,0.22412839097098686,0.11066049337387085,0.1917265504598617
ablation,single_calibrated,2,1,10,10,ensemble_mean,7,calibrated,0.21208918467595833,0.0754494067492991,0.47154770353380954
ablation,single_calibrated,2,1,10,10,ensemble_mean,8,raw,0.23404823495240165,0.1274329605749098,0.26478566063774955
ablation,single_calibrated,2,1,10,10,ensemble_mean,8,calibrated,0.2169613582606998,0.05157897656856683,0.40338374698341795
ablation,single_calibrated,2,1,10,10,ensemble_mean,9,raw,0.23475540176029072,0.1613309883465201,0.26007928450902296
ablation,single_calibrated,2,1,10,10,ensemble_mean,9,calibrated,0.20710670948708312,0.02710971866009504,0.4921171644953112
ablation,single_calibrated,2,1,10,10,ensemble_mean,10,raw,0.240121617042378,0.16954332489078328,0.4112544357776642
ablation,single_calibrated,2,1,10,10,ensemble_mean,10,calibrated,0.2154573301716653,0.11209247321135693,0.20080353412261287
ablation,single_calibrated,2,1,10,10,ensemble_mean,11,raw,0.2331451965895174,0.1551443984953024,0.404904584089915
ablation,single_calibrated,2,1,10,10,ensemble_mean,11,calibrated,0.21438169517131186,0.13118492230679024,0.2201427547838728
ablation,single_calibrated,2,1,10,10,ensemble_mean,12,raw,0.23140969890902127,0.1452431663618249,0.6069681445757549
ablation,single_calibrated,2,1,10,10,ensemble_mean,12,calibrated,0.21195197587568093,0.08954335013146135,0.5116772967902296
ablation,single_calibrated,2,1,10,10,ensemble_mean,13,raw,0.2327825132718109,0.14818050952280984,0.37406203150749207
ablation,single_calibrated,2,1,10,10,ensemble_mean,13,calibrated,0.20833030757019086,0.08396257743202387,0.16636188949827924
ablation,single_calibrated,2,1,10,10,ensemble_mean,14,raw,0.23633535576868003,0.15837287094633457,0.4733061620167323
ablation,single_calibrated,2,1,10,10,ensemble_mean,14,calibrated,0.21285238207598758,0.1178181665766865,0.19336270056228022
ablation,single_calibrated,2,1,10,10,ensemble_mean,15,raw,0.23373009527109165,0.1875662828906108,0.33371734122435254
ablation,single_calibrated,2,1,10,10,ensemble_mean,15,calibrated,0.2149517312142515,0.10593669371616973,0.15445939374175022
ablation,single_calibrated,2,1,10,10,ensemble_mean,16,raw,0.2175018295494696,0.13119667440147725,0.35988566279411316
ablation,single_calibrated,2,1,10,10,ensemble_mean,16,calibrated,0.19920395004262414,0.11501120761207134,0.3772596713533687
ablation,single_calibrated,2,1,10,10,ensemble_mean,17,raw,0.19050482236787028,0.17488313352657575,0.2571157727922712
ablation,single_calibrated,2,1,10,10,ensemble_mean,17,calibrated,0.16636432299479376,0.052584825484396,0.20995018951611888
ablation,single_calibrated,2,1,10,10,ensemble_mean,18,raw,0.17715031027107134,0.16567812405400356,0.25662600398063656
ablation,single_calibrated,2,1,10,10,ensemble_mean,18,calibrated,0.15903485571148734,0.10635742760772018,0.35198616608937044
